Location	Pincode
Advalpal	403503
Advoi	403530
Agarwada	403512
Aldona	403508
Alto Betim	403521
Alto-porvorim	403521
Anjuna	403509
Arambol	403524
Arpora	403516
Assagao	403507
Assonora	403503
Baga	403516
Bambolim Camp	403201
Bambolim Complex	403202
Bastora	403507
Batim	403108
Betim	403101
Betki	403107
Bicholim	403504
Bicholim Industrial estate	403529
Birondam	403506
C.C.altinho	403001
Caisua	403509
Calangute	403516
Calvim	403523
Camurlim	403507
Canca	403510
Candepar	403406
Candolim	403515
Cansarvornem	403512
Carambolim	403110
Caranzalem	403002
Carapur	403505
Carona	403523
Chimbel	403006
Chorao	403102
Colvale	403513
Corgao	403512
Corjuem	403508
Corlim Ie	403110
Cotorem	403506
Cudne	403505
Cumbharjua	403107
Curca	403108
Darbandora	403406
Dhargalim	403513
Dodamarg	403503
Fontainhas	403001
Goa-Velha	403108
Goa University	403206
Guleli	403506
Guirim	403507
Ibrampur	403503
Kerim	403505
Malar	403403
Mandrem	403527
Mandur	403104
Mapusa	403507
Mapusa I.E.	403507
Marcaim	403404
Maulinge	403504
Mauxi	403506
Mayem	403504
Menkurem	403513
Moira	403507
Morjim	403512
Morlem	403505
Mulgao	403503
N B verem	403109
Nachinola	403508
Nagargaon	403506
Nagzar	403512
Nanora	403503
Nanorem	403506
Navelim	403505
Nerul	403114
Neura	403104
NIO Dona paula	403004
Honda	403530
Honda I.e.	403530
Oxel	403517
Ozari	403513
Pale	403105
Panaji	403001
Parra	403510
Parcem	403512
Penha De france	403101
Pernem	403512
Piedade	403403
Pilar	403203
Pilerne	403114
Pilgao	403504
Pillem	403406
Pirna	403513
Pissurlem	403530
Pomburpa	403523
Ponda	403401
Poriem	403505
Poroscodem	403512
Porvorim	403501
Pratapnagar Harvale	403505
Querim	403524
Qurinpani	403524
Reis Magos	403114
Revora	403513
Ribandar	403006
Saipem	403515
Salem	403503
Saligao	403511
Salvador De mundo	403101
Sancordem	403406
Sangolda	403511
Sanquelim	403505
Santa Cruz	403005
Sanvordem	403506
Secretariat	403521
Sem Saligao	403511
Shiroda	403103
Sinquerim	403515
Siolim	403517
Sirgao	403503
Siridao	403108
Sirsaim	403502
St Inez	403001
St.Estevam	403106
Succour Pssk	403501
Surla	403505
Tamboxem	403512
Tarvalem	403103
Thana	403506
Tivim	403502
Tivim Ie	403526
Torxem	403512
Tuem	403512
Tuem I e	403512
Ucassiam	403507
Usgao	403407
Valpoi	403506
Varconda	403512
Velguem O	403506
Velha-goa	403402
Virnora	403512
